K,ExecTime,ConvergedIn,Alpha,RepulsionStrength
2,1.127990,87,0.50,0.200
4,5.012217,481,0.50,0.200
8,39.595617,5131,0.50,0.200
16,57.858884,0,0.50,0.200
32,6.902425,1619,0.50,0.200
64,5.967438,2227,0.50,0.200
128,12.706627,3724,0.50,0.200
256,3.901871,1047,0.50,0.200
512,3.566083,552,0.50,0.200
1024,13.917907,1245,0.50,0.200
