K,Time(s),Inertia
2,0.201552,30844008793.83504
4,0.358687,28108786687.483116
8,0.685379,25093100147.64714
16,0.627388,21783084785.91987
32,0.556904,18638523015.91194
64,0.593648,15954559212.156248
128,0.75713,13371604733.638235
256,1.192503,11161466811.25454
512,2.168056,9379714219.041094
1024,4.050699,8156826126.05624
