K,ExecTime,ConvergedIn,Dim
2,2.470305,46,10
4,9.896647,258,10
8,9.232534,229,10
16,14.451347,377,10
32,21.385833,536,10
64,18.580721,462,10
128,45.664896,1133,10
256,27.081763,652,10
512,14.233428,328,10
1024,27.171629,552,10
