K,ExecTime,ConvergedIn,Dim
2,3.195124,57,20
4,12.300821,255,20
8,15.950327,252,20
16,18.541699,725,20
32,32.612754,1460,20
64,112.309053,1708,20
128,121.977751,2212,20
256,210.506621,3583,20
512,136.457146,1540,20
1024,95.505333,904,20
