K,Time(s),Inertia
2,0.403861,64132430086.1223
4,0.437089,61392997175.02646
8,1.225712,58384976352.81018
16,0.783544,55080324293.36143
32,0.839711,51532530355.84184
64,0.710184,48139344164.841866
128,0.888333,44784524473.85844
256,1.424721,41490275535.64496
512,2.536067,38297737494.93585
1024,4.778384,35206087672.61584
