K,ExecTime,ConvergedIn,Alpha,RepulsionStrength
2,2.564578,109,0.50,0.200
4,9.114394,555,0.50,0.200
8,12.117401,1040,0.50,0.200
16,40.228734,3230,0.50,0.200
32,32.423959,6561,0.50,0.200
64,14.757686,3361,0.50,0.200
128,49.048821,8207,0.50,0.200
256,21.013890,2151,0.50,0.200
512,42.938734,2566,0.50,0.200
1024,65.144046,2047,0.50,0.200
