K,ExecTime,ConvergedIn,Dim
2,3.264925,33,20
4,8.924567,107,20
8,12.871876,102,20
16,42.315495,292,20
32,71.734961,300,20
64,111.696608,300,20
128,208.129031,300,20
256,375.48741,300,20
512,722.978365,300,20
1024,1415.595398,300,20
