K,Time(s),Inertia
2,0.264388,12832746125711.758
4,0.825303,12285649939990.055
8,2.116191,11683554644331.16
16,1.518398,11022056700912.73
32,1.563838,10316819104768.203
64,1.180819,9638237481339.084
128,1.654074,8967279372312.072
256,2.646652,8314220656340.822
512,4.697948,7681193445273.232
1024,8.72355,7071209505305.431
