K,ExecTime,ConvergedIn,Dim
2,9.314971,65,20
4,12.153473,346,20
8,15.984212,467,20
16,34.246791,1669,20
32,53.698710,2181,20
64,74.224198,2272,20
128,88.129163,4617,20
256,107.292448,4817,20
512,131.488442,1770,20
1024,367.939566,1744,20
