K,ExecTime,ConvergedIn,Alpha,RepulsionStrength
2,0.519277,83,0.50,0.200
4,1.403825,399,0.50,0.200
8,0.418216,151,0.50,0.200
16,1.517763,525,0.50,0.200
32,0.943908,507,0.50,0.200
64,2.035499,1113,0.50,0.200
128,1.369249,1116,0.50,0.200
256,2.987366,2040,0.50,0.200
512,1.891046,1158,0.50,0.200
1024,4.833307,1870,0.50,0.200
