K,ExecTime,ConvergedIn,Dim
2,1.170701,13,10
4,2.662576,37,10
8,10.101155,111,10
16,23.32404,213,10
32,55.338892,300,10
64,87.352596,300,10
128,163.945134,300,10
256,299.743185,300,10
512,580.113346,300,10
1024,1139.39819,300,10
