K,ExecTime,ConvergedIn,Dim
4,51.158314,660,10
8,22.410627,286,10
16,47.905344,623,10
32,29.040750,377,10
64,94.896868,1218,10
128,195.688807,2464,10
256,35.831732,436,10
512,47.213676,538,10
1024,98.749503,994,10
